6,TETUAN,602,CUATRO CAMINOS,2,6034,34,83,1,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,84,0,4,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,85,1,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,86,0,2,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,87,1,2,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,88,1,3,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,89,0,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,90,1,2,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,91,1,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,92,0,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,94,1,2,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,95,1,0,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,96,0,2,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,101,0,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6034,34,102,0,1,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,0,6,1,3,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,1,3,3,1,3
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,2,5,6,2,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,3,4,1,3,4
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,4,2,4,2,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,5,1,5,1,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,6,2,3,2,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,7,6,4,2,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,8,1,5,1,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,9,0,3,3,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,10,3,4,0,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,11,2,3,3,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,12,3,4,1,3
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,13,4,1,3,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,14,5,3,2,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,15,2,4,2,0
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,16,3,1,1,1
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,17,6,4,1,1
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,18,5,5,0,1
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,19,5,5,2,3
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,20,4,5,1,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,21,7,4,3,2
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,22,7,5,1,1
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,23,6,7,1,4
6,TETUAN,602,CUATRO CAMINOS,2,6035,35,24,9,5,4,7
